Resulted,inOutQC
2017-01-15 00:15:00,0
2017-01-15 01:40:00,0
2017-01-15 11:50:00,0
2017-01-15 11:50:00,0
2017-01-15 13:50:00,0
2017-01-15 22:22:00,0
2017-01-15 22:22:00,0
2017-01-16 02:02:00,1
2017-01-16 04:05:00,0
2017-01-16 06:07:00,0
2017-01-16 06:36:00,0
2017-01-16 07:55:00,0
2017-01-16 12:07:00,0
2017-01-16 12:07:00,0
2017-01-16 15:03:00,0
2017-01-16 15:03:00,0
2017-01-16 17:06:00,0
2017-01-16 18:51:00,0
2017-01-16 21:05:00,0
2017-01-16 22:50:00,0
2017-01-17 09:52:00,0
2017-01-17 09:52:00,0
2017-01-17 11:16:00,0
2017-01-17 13:24:00,0
2017-01-17 15:07:00,0
2017-01-17 22:20:00,0
2017-01-17 22:20:00,0
2017-01-18 02:10:00,1
2017-01-18 03:56:00,0
2017-01-18 05:57:00,0
2017-01-18 08:08:00,0
2017-01-18 15:32:00,0
2017-01-18 15:32:00,0
2017-01-18 18:15:00,0
2017-01-18 20:12:00,0
2017-01-18 22:06:00,0
2017-01-19 09:27:00,0
2017-01-19 09:27:00,0
2017-01-19 11:05:00,0
2017-01-19 13:21:00,0
2017-01-19 15:09:00,1
2017-01-19 22:18:00,0
2017-01-19 22:18:00,0
2017-01-20 03:12:00,0
2017-01-20 03:12:00,0
2017-01-20 05:59:00,0
2017-01-20 08:06:00,0
2017-01-20 14:00:00,0
2017-01-20 14:00:00,0
2017-01-20 16:07:00,0
2017-01-20 16:07:00,0
2017-01-20 18:00:00,0
2017-01-20 20:20:00,0
2017-01-20 22:02:00,0
2017-01-21 00:02:00,0
2017-01-21 02:09:00,0
2017-01-21 08:47:00,0
2017-01-21 08:47:00,0
2017-01-21 11:20:00,0
2017-01-21 13:15:00,0
2017-01-21 15:03:00,0
2017-01-21 22:33:00,0
2017-01-21 22:33:00,0
2017-01-22 02:13:00,0
2017-01-22 02:13:00,0
2017-01-22 03:58:00,0
2017-01-22 05:47:00,0
2017-01-22 08:09:00,0
2017-01-22 10:16:00,0
2017-01-22 12:21:00,0
2017-01-22 15:31:00,0
2017-01-22 15:31:00,0
2017-01-22 17:27:00,0
2017-01-22 19:33:00,0
2017-01-22 21:41:00,0
2017-01-23 09:31:00,0
2017-01-23 09:31:00,0
2017-01-23 11:59:00,0
2017-01-23 13:18:00,0
2017-01-23 15:02:00,0
2017-01-23 22:38:00,0
2017-01-23 22:38:00,0
2017-01-24 02:18:00,0
2017-01-24 03:57:00,0
2017-01-24 06:01:00,0
2017-01-24 08:23:00,0
2017-01-24 14:08:00,0
2017-01-24 14:08:00,0
2017-01-24 14:45:00,0
2017-01-24 14:45:00,0
2017-01-24 15:53:00,0
2017-01-24 15:53:00,0
2017-01-24 17:55:00,0
2017-01-24 20:06:00,0
2017-01-24 21:53:00,0
2017-01-25 00:30:00,0
2017-01-25 02:23:00,0
2017-01-25 09:57:00,0
2017-01-25 09:57:00,0
2017-01-25 11:07:00,0
2017-01-25 11:12:00,0
2017-01-25 11:49:00,0
2017-01-25 11:49:00,0
2017-01-25 12:50:00,0
2017-01-25 14:52:00,0
2017-01-25 22:43:00,0
2017-01-25 22:43:00,0
2017-01-26 01:47:00,0
2017-01-26 03:45:00,0
2017-01-26 05:50:00,0
2017-01-26 08:33:00,0
2017-01-26 14:23:00,0
2017-01-26 14:23:00,0
2017-01-26 16:40:00,0
2017-01-26 16:40:00,0
2017-01-26 18:38:00,0
2017-01-26 20:34:00,0
2017-01-26 22:38:00,0
2017-01-27 00:21:00,0
2017-01-27 08:52:00,0
2017-01-27 08:52:00,0
2017-01-27 09:25:00,0
2017-01-27 09:25:00,0
2017-01-27 11:20:00,0
2017-01-27 12:43:00,0
2017-01-27 15:00:00,0
2017-01-27 19:02:00,0
2017-01-27 19:02:00,0
2017-01-27 22:29:00,0
2017-01-27 22:29:00,0
2017-01-28 02:56:00,0
2017-01-28 02:56:00,0
2017-01-28 03:47:00,0
2017-01-28 06:05:00,0
2017-01-28 06:56:00,0
2017-01-28 08:56:00,0
2017-01-28 13:40:00,0
2017-01-28 13:40:00,0
2017-01-28 15:48:00,0
2017-01-28 15:48:00,0
2017-01-28 17:59:00,0
2017-01-28 19:52:00,0
2017-01-28 21:55:00,0
